product_name,current_price,price,percent_discount,rating,link,brand_id,series,genre_name
HP Envy X360 13 bf0090TU i7 1250U (76B13PA),27.490.000₫,32.990.000₫,-16%,12,https://www.thegioididong.com/laptop/hp-envy-x360-13-bf0090tu-i7-76b13pa,01,Envy,laptop
HP Envy 16 h0205TX i9 12900H (7C0T2PA),51.990.000₫,65.390.000₫,-20%,,https://www.thegioididong.com/laptop/hp-envy-16-h0205tx-i9-7c0t2pa,01,Envy,laptop
HP Envy X360 13 bf0112TU i5 1230U (7C0N9PA),23.890.000₫,29.590.000₫,-19%,4,https://www.thegioididong.com/laptop/hp-envy-x360-13-bf0112tu-i5-7c0n9pa,01,Envy,laptop
HP Envy X360 13 bf0095TU i5 1230U (76B15PA),22.990.000₫,29.590.000₫,-22%,13,https://www.thegioididong.com/laptop/hp-envy-x360-13-bf0095tu-i5-76b15pa,01,Envy,laptop
HP Pavilion 15 eg2082TU i5 1240P (7C0Q5PA),16.490.000₫,19.790.000₫,-16%,37,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2082tu-i5-7c0q5pa,01,Pavilion,laptop
HP Pavilion 14 dv2074TU i5 1235U (7C0P3PA),16.390.000₫,19.690.000₫,-16%,29,https://www.thegioididong.com/laptop/hp-pavilion-14-dv2074tu-i5-7c0p3pa,01,Pavilion,laptop
HP Pavilion 15 eg2081TU i5 1240P (7C0Q4PA),17.990.000₫,20.990.000₫,-14%,19,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2081tu-i5-7c0q4pa,01,Pavilion,laptop
HP Pavilion X360 14 ek1049TU i5 1335U (80R27PA),21.990.000₫,24.290.000₫,-9%,9,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek1049tu-i5-80r27pa,01,Pavilion,laptop
HP Pavilion 15 eg2086TU i3 1215U (7C0Q8PA),11.990.000₫,15.290.000₫,,,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2086tu-i3-7c0q8pa,01,Pavilion,laptop
HP Pavilion 15 eg2035TX i5 1235U (6K781PA),17.390.000₫,20.590.000₫,-15%,34,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2035tx-i5-6k781pa,01,Pavilion,laptop
HP Pavilion X360 14 ek1047TU i7 1355U (80R25PA),26.990.000₫,27.590.000₫,,,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek1047tu-i7-80r25pa,01,Pavilion,laptop
HP Pavilion 15 eg3091TU i7 1355U (8C5L2PA),24.690.000₫,25.290.000₫,,,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3091tu-i7-8c5l2pa,01,Pavilion,laptop
HP Pavilion X360 14 ek0132TU i7 1255U (7C0W4PA),22.990.000₫,26.990.000₫,-14%,12,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek0132tu-i7-7c0w4pa,01,Pavilion,laptop
HP Pavilion 15 eg2088TU i7 1260P (7C0R0PA),22.090.000₫,25.290.000₫,,,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2088tu-i7-7c0r0pa,01,Pavilion,laptop
HP Pavilion 15 eg2034TX i7 1255U (6K780PA),20.990.000₫,24.590.000₫,-14%,9,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2034tx-i7-6k780pa,01,Pavilion,laptop
HP Pavilion 15 eg3093TU i5 1335U (8C5L4PA),20.790.000₫,21.290.000₫,,,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3093tu-i5-8c5l4pa,01,Pavilion,laptop
HP Pavilion X360 14 ek1048TU i5 1335U (80R26PA),20.590.000₫,22.890.000₫,-10%,7,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek1048tu-i5-80r26pa,01,Pavilion,laptop
HP Pavilion 15 eg3094TU i5 1335U (8C5L5PA),19.490.000₫,19.990.000₫,,,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3094tu-i5-8c5l5pa,01,Pavilion,laptop
HP Pavilion 15 eg2062TX i5 1235U (7C0W7PA),17.990.000₫,20.590.000₫,,,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2062tx-i5-7c0w7pa,01,Pavilion,laptop
HP Pavilion 15 eg2036TX i5 1235U (6K782PA),17.390.000₫,20.590.000₫,-15%,15,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2036tx-i5-6k782pa,01,Pavilion,laptop
HP Pavilion 15 eg2085TU i5 1240P (7C0Q7PA),15.290.000₫,18.790.000₫,-18%,10,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2085tu-i5-7c0q7pa,01,Pavilion,laptop
HP Pavilion X360 14 ek0131TU i3 1215U (7C0P6PA),14.490.000₫,16.590.000₫,-12%,5,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek0131tu-i3-7c0p6pa,01,Pavilion,laptop
HP Pavilion X360 14 ek0059TU i3 1215U (6K7E1PA),13.790.000₫,16.590.000₫,-16%,12,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek0059tu-i3-6k7e1pa,01,Pavilion,laptop
HP Pavilion 15 eg2062TU i3 1215U (6K790PA),11.990.000₫,14.990.000₫,,,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2062tu-i3-6k790pa,01,Pavilion,laptop
HP Probook 450 G9 i5 1235U (6M0Y9PA),17.990.000₫,21.290.000₫,-15%,12,https://www.thegioididong.com/laptop/hp-probook-450-g9-i5-6m0y9pa,01,ProBook,laptop
HP ProBook 445 G10 R5 7530U (878T1PA),15.890.000₫,16.190.000₫,,,https://www.thegioididong.com/laptop/hp-probook-445-g10-r5-878t1pa,01,ProBook,laptop
HP EliteBook 630 G9 i7 1255U (6M146PA),23.690.000₫,27.790.000₫,-14%,13,https://www.thegioididong.com/laptop/hp-elitebook-630-g9-i7-6m146pa,01,EliteBook,laptop
HP Elitebook Dragonfly G3 i7 1255U (6Z980PA),40.790.000₫,52.590.000₫,-22%,,https://www.thegioididong.com/laptop/hp-elitebook-dragonfly-g3-i7-6z980pa,01,EliteBook,laptop
HP Elitebook X360 1040 G9 i7 1255U (6Z982PA),38.490.000₫,49.990.000₫,-23%,,https://www.thegioididong.com/laptop/hp-elitebook-x360-1040-g9-i7-6z982pa,01,EliteBook,laptop
