product_name,current_price,price,percent_discount,rating,link,brand_id,series,genre_name
iPhone 14 Pro Max 128GB,26.490.000₫,29.990.000₫,-11%,348,https://www.thegioididong.com/dtdd/iphone-14-pro-max,01,"iPhone 14 (Plus, Pro, Pro Max)",phone
iPhone 14 Pro 128GB,24.490.000₫,27.990.000₫,-12%,168,https://www.thegioididong.com/dtdd/iphone-14-pro,01,"iPhone 14 (Plus, Pro, Pro Max)",phone
iPhone 14 128GB,19.190.000₫,21.990.000₫,-12%,109,https://www.thegioididong.com/dtdd/iphone-14,01,"iPhone 14 (Plus, Pro, Pro Max)",phone
iPhone 14 Plus 128GB,21.790.000₫,24.990.000₫,-12%,92,https://www.thegioididong.com/dtdd/iphone-14-plus,01,"iPhone 14 (Plus, Pro, Pro Max)",phone
iPhone 14 Pro Max 1TB,41.990.000₫,43.990.000₫,,,https://www.thegioididong.com/dtdd/iphone-14-pro-max-1tb,01,"iPhone 14 (Plus, Pro, Pro Max)",phone
iPhone 14 Pro Max 512GB,35.990.000₫,37.990.000₫,-5%,60,https://www.thegioididong.com/dtdd/iphone-14-pro-max-512gb,01,"iPhone 14 (Plus, Pro, Pro Max)",phone
iPhone 14 Pro 512GB,33.490.000₫,35.990.000₫,-6%,14,https://www.thegioididong.com/dtdd/iphone-14-pro-512gb,01,"iPhone 14 (Plus, Pro, Pro Max)",phone
iPhone 14 Pro Max 256GB,29.490.000₫,32.990.000₫,-10%,201,https://www.thegioididong.com/dtdd/iphone-14-pro-max-256gb,01,"iPhone 14 (Plus, Pro, Pro Max)",phone
iPhone 14 Pro 256GB,27.290.000₫,29.990.000₫,-9%,91,https://www.thegioididong.com/dtdd/iphone-14-pro-256gb,01,"iPhone 14 (Plus, Pro, Pro Max)",phone
iPhone 14 Plus 256GB,23.990.000₫,27.990.000₫,,,https://www.thegioididong.com/dtdd/iphone-14-plus-256gb,01,"iPhone 14 (Plus, Pro, Pro Max)",phone
iPhone 14 256GB,22.290.000₫,24.990.000₫,-10%,31,https://www.thegioididong.com/dtdd/iphone-14-256gb,01,"iPhone 14 (Plus, Pro, Pro Max)",phone
iPhone 13 256GB,19.990.000₫,20.990.000₫,-4%,86,https://www.thegioididong.com/dtdd/iphone-13-256gb,01,"iPhone 13 (Mini, Pro, Pro Max)",phone
iPhone 13 128GB,16.990.000₫,18.990.000₫,-10%,424,https://www.thegioididong.com/dtdd/iphone-13,01,"iPhone 13 (Mini, Pro, Pro Max)",phone
iPhone 12 128GB,14.990.000₫,18.990.000₫,-21%,165,https://www.thegioididong.com/dtdd/iphone-12-128gb,01,"iPhone 12 (Mini, Pro, Pro Max)",phone
iPhone 12 64GB,13.990.000₫,17.990.000₫,-22%,306,https://www.thegioididong.com/dtdd/iphone-12,01,"iPhone 12 (Mini, Pro, Pro Max)",phone
iPhone 11 64GB,10.390.000₫,11.990.000₫,-13%,784,https://www.thegioididong.com/dtdd/iphone-11,01,iPhone 11,phone
iPhone 11 128GB,11.990.000₫,13.990.000₫,-14%,505,https://www.thegioididong.com/dtdd/iphone-11-128gb,01,iPhone 11,phone
Samsung Galaxy Z Fold5 5G 256GB,36.990.000₫,40.990.000₫,-9%,,https://www.thegioididong.com/dtdd/samsung-galaxy-z-fold5,02,Galaxy Z (Màn hình gập),phone
Samsung Galaxy Z Fold4 5G 256GB,26.990.000₫,40.990.000₫,-34%,77,https://www.thegioididong.com/dtdd/samsung-galaxy-z-fold4,02,Galaxy Z (Màn hình gập),phone
Samsung Galaxy Z Fold5 5G 1TB,47.990.000₫,51.990.000₫,-7%,,https://www.thegioididong.com/dtdd/samsung-galaxy-z-fold5-5g-1tb,02,Galaxy Z (Màn hình gập),phone
Samsung Galaxy Z Fold5 5G 512GB,40.990.000₫,44.990.000₫,-8%,3,https://www.thegioididong.com/dtdd/samsung-galaxy-z-fold5-5g-512gb,02,Galaxy Z (Màn hình gập),phone
Samsung Galaxy Z Fold4 5G 512GB,29.890.000₫,44.490.000₫,,,https://www.thegioididong.com/dtdd/samsung-galaxy-z-fold4-5g-512gb,02,Galaxy Z (Màn hình gập),phone
Samsung Galaxy Z Flip5 5G 512GB,25.990.000₫,,,3,https://www.thegioididong.com/dtdd/samsung-galaxy-z-flip5-5g-512gb,02,Galaxy Z (Màn hình gập),phone
Samsung Galaxy Z Flip5 5G 256GB,21.990.000₫,,,,https://www.thegioididong.com/dtdd/samsung-galaxy-z-flip5,02,Galaxy Z (Màn hình gập),phone
Samsung Galaxy Z Flip4 5G 256GB,17.990.000₫,25.990.000₫,-30%,32,https://www.thegioididong.com/dtdd/samsung-galaxy-z-flip4-5g-256gb,02,Galaxy Z (Màn hình gập),phone
Samsung Galaxy Z Flip4 5G 512GB,17.990.000₫,29.490.000₫,-38%,31,https://www.thegioididong.com/dtdd/samsung-galaxy-z-flip4-5g-512gb,02,Galaxy Z (Màn hình gập),phone
Samsung Galaxy Z Flip4 5G 128GB,14.990.000₫,23.990.000₫,,,https://www.thegioididong.com/dtdd/samsung-galaxy-z-flip4,02,Galaxy Z (Màn hình gập),phone
Samsung Galaxy A14 6GB,4.540.000₫,4.990.000₫,-9%,306,https://www.thegioididong.com/dtdd/samsung-galaxy-a14,02,Galaxy A,phone
Samsung Galaxy A24 6GB,5.890.000₫,6.490.000₫,-9%,29,https://www.thegioididong.com/dtdd/samsung-galaxy-a24,02,Galaxy A,phone
Samsung Galaxy A34 5G 256GB,9.490.000₫,,,82,https://www.thegioididong.com/dtdd/samsung-galaxy-a34,02,Galaxy A,phone
Samsung Galaxy A04s,3.590.000₫,3.990.000₫,-10%,309,https://www.thegioididong.com/dtdd/samsung-galaxy-a04s,02,Galaxy A,phone
Samsung Galaxy A54 5G 256GB,11.490.000₫,,,,https://www.thegioididong.com/dtdd/samsung-galaxy-a54,02,Galaxy A,phone
Samsung Galaxy A54 5G 128GB,10.490.000₫,,,150,https://www.thegioididong.com/dtdd/samsung-galaxy-a54-5g-128gb,02,Galaxy A,phone
Samsung Galaxy A34 5G 128GB,8.490.000₫,,,244,https://www.thegioididong.com/dtdd/samsung-galaxy-a34-5g-128gb,02,Galaxy A,phone
Samsung Galaxy A53 5G 128GB,6.990.000₫,9.990.000₫,-30%,379,https://www.thegioididong.com/dtdd/samsung-galaxy-a53,02,Galaxy A,phone
Samsung Galaxy A24 8GB,6.390.000₫,6.990.000₫,-8%,40,https://www.thegioididong.com/dtdd/samsung-galaxy-a24-8gb,02,Galaxy A,phone
Samsung Galaxy A33 5G 6GB,6.290.000₫,7.290.000₫,-13%,,https://www.thegioididong.com/dtdd/samsung-galaxy-a33,02,Galaxy A,phone
Samsung Galaxy A23 5G 4GB,5.190.000₫,5.990.000₫,-13%,42,https://www.thegioididong.com/dtdd/samsung-galaxy-a23-5g,02,Galaxy A,phone
Samsung Galaxy A23 4GB,4.690.000₫,5.690.000₫,-17%,197,https://www.thegioididong.com/dtdd/samsung-galaxy-a23,02,Galaxy A,phone
Samsung Galaxy A14 5G,4.490.000₫,5.190.000₫,-13%,70,https://www.thegioididong.com/dtdd/samsung-galaxy-a14-5g,02,Galaxy A,phone
